domain,chord_IP,chord_time,nanosec,reg_IP,reg_time,eq,code,url
facebook.com,157.240.13.35,0,349200,157.240.198.35,304.8896,0,200,https://facebook.com
eforms.com,,472,472763200,104.26.1.24,992.5395,0,403,https://eforms.com
beta.character.ai,104.18.223.226_104.18.222.226_,0,153000,104.18.222.226,0.0,1,200,https://beta.character.ai
ip-watch.org,,436,436736700,128.65.195.152,0.0,0,200,https://ip-watch.org
paulickreport.com,151.101.2.98_151.101.130.98_,0,148200,151.101.66.98,0.0,0,403,https://paulickreport.com
teachinginhighered.com,141.193.213.11_141.193.213.10_,0,159100,141.193.213.10,999.9971,1,403,https://teachinginhighered.com
nilsfrahm.com,172.67.165.154_104.21.15.250_,0,112800,172.67.165.154,187.5009,1,200,https://nilsfrahm.com
vectorstock.com,99.86.47.23_99.86.47.59_99.86.47.58_99.86.47.57_,0,87300,99.86.47.58,749.9993,1,200,https://vectorstock.com
simpleicons.org,185.199.108.153_185.199.109.153_185.199.110.153_,0,243300,172.67.216.146,1000.6638,0,200,https://simpleicons.org
healthyamericans.org,172.67.219.87_104.21.51.25_,0,149100,104.21.51.25,1063.2315,1,200,https://healthyamericans.org
thv11.com,54.68.182.72_34.213.106.51_,0,116500,34.213.106.51,0.0,1,200,https://thv11.com
justluxe.com,,443,443704500,50.28.36.212,0.0,0,200,https://justluxe.com
mhlnews.com,89.106.200.1,0,104200,89.106.200.1,62.3992,1,200,https://mhlnews.com
xoomer.alice.it,213.209.30.138,0,90400,213.209.17.209,0.0,0,200,https://xoomer.alice.it
urukia.com,,291,291947700,172.67.143.113,31.2562,0,error,
opendata.go.ke,169.239.252.108,0,95400,169.239.252.108,0.0,1,error,
statistik.d-u-v.org,45.153.58.2,0,98600,45.153.58.218,0.0,0,200,https://statistik.d-u-v.org
icomos.org,37.59.136.183,0,104800,37.59.136.183,0.0,1,200,https://icomos.org
plantsoftheworldonline.org,213.48.60.82,0,86000,213.48.60.82,1047.4055,1,200,https://plantsoftheworldonline.org
kaskus.co.id,103.6.117.2_103.6.117.3_,0,78800,103.6.117.3,0.0,1,200,https://kaskus.co.id
projects.csail.mit.edu,128.30.2.143,0,78100,128.30.2.143,0.0,1,200,https://projects.csail.mit.edu
waverlyfilms.com,143.95.40.169,0,90400,143.95.40.169,0.0,1,406,https://waverlyfilms.com
scp-wiki.net,162.255.119.159,0,81400,162.255.119.159,12.5174,1,200,http://scp-wiki.net
orangebowl.org,192.124.249.117,0,78300,192.124.249.117,0.0,1,403,https://orangebowl.org
idexx.com,72.55.246.191,0,105100,72.55.246.191,0.0,1,200,https://idexx.com
solutionsinfini.com,108.158.245.49_18.66.63.8_,0,87800,18.66.63.87,843.2694,0,200,https://solutionsinfini.com
lr21.com.uy,46.105.165.183,0,108300,46.105.165.183,0.0,1,200,https://lr21.com.uy
slotmitosbet27.weebly.com,199.34.228.54_199.34.228.53_,0,80000,74.115.51.8,0.0,0,404,https://slotmitosbet27.weebly.com
solaresearch.org,209.217.212.158,0,487800,209.217.212.158,0.0,1,200,https://solaresearch.org
japaneseapp.com,108.158.245.47_108.158.245.49_18.164.202.37_18.164.202.34_108.158.245.53_,0,100500,108.158.61.81,31.1347,0,200,https://japaneseapp.com
knewton.com,34.213.106.51_54.68.182.72_,0,83400,34.213.106.51,0.0,1,403,https://knewton.com
wakingbraincells.com,,428,428609900,192.0.78.24,0.0,0,200,https://wakingbraincells.com
urlesque.com,54.161.105.65_74.6.136.150_,0,136400,13.248.158.7,0.0,0,404,https://urlesque.com
snobette.com,,446,446088100,141.193.213.10,0.0,0,403,https://snobette.com
